1	0.00017	
0.99669	0.00093	
0.9873199	0.00333	
0.9728698	0.0071601	
0.9537596	0.0116701	
0.9298793	0.0165302	
0.901399	0.0218302	
0.8688086	0.0275703	
0.8326283	0.0336203	
0.7934279	0.0397704	
0.7517775	0.0456905	
0.708097	0.0509405	
0.6625966	0.0552506	
0.6155261	0.0585006	
0.5671857	0.0606906	
0.5179552	0.0619406	
0.4683847	0.0623106	
0.4189842	0.0618406	
0.3702637	0.0605606	
0.3227532	0.0585106	
0.2769428	0.0557406	b
0.2333023	0.0523105	
0.1923019	0.0482705	
0.1543615	0.0437004	
0.1198912	0.0386704	
0.0892309	0.0333003	
0.0627206	0.0276603	
0.0406604	0.0218602	
0.0232502	0.0159602	
0.0105801	0.0101101	
0.0060001	0.0072501	
0.00226	0.00401	
0.00071	0.00205	
0.00009	0.00074	
0	0	
0.00025	-0.00072	
0.00115	-0.0019	
0.00313	-0.0036	
0.0076201	-0.0062501	
0.0126801	-0.0083701	
0.0268403	-0.0126101	
0.0459705	-0.0165302	
0.0699307	-0.0200702	
0.098461	-0.0232402	
0.1312113	-0.0259903	
0.1677617	-0.0282703	
0.2076921	-0.0300003	
0.2505225	-0.0310903	
0.295753	-0.0313703	b
0.3430134	-0.0306303	
0.3920439	-0.0287603	
0.4425844	-0.0257803	
0.4944449	-0.0218802	
0.5472355	-0.0175402	
0.600276	-0.0131101	
0.6528665	-0.0088901	
0.704277	-0.0051001	
0.7537276	-0.00191	
0.8004881	0.00057	
0.8437984	0.00226	
0.8829688	0.00318	
0.9173292	0.00338	
0.9462994	0.00302	
0.9694097	0.00228	
0.9862698	0.00136	
0.99654	0.00053	
1	0.00017	
